cliente_id,churn,cliente_idoso,cliente_tem_parceiro,cliente_tem_dependentes,meses_contrato,servico_telefonico,multiplas_linhas,assinatura_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_a_cabo,streaming_filmes,contrato,fatura_online,forma_pagamento,faturamento_mensal,faturamento_total,cliente_masculino,contas_diarias
0002-ORFBO,False,False,True,True,9,True,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,True,Cheque,65.6,593.3,False,2.1866666666666665
0003-MKNFE,False,False,False,False,9,True,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,False,Cheque,59.9,542.4,True,1.9966666666666666
0004-TLHLJ,True,False,False,False,4,True,Não,Fibra Ótica,Não,Não,Sim,Não,Não,Não,Mensal,True,Cheque eletrônico,73.9,280.85,True,2.4633333333333334
0011-IGKFF,True,True,True,False,13,True,Não,Fibra Ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,True,Cheque eletrônico,98.0,1237.85,True,3.2666666666666666
0013-EXCHZ,True,True,True,False,3,True,Não,Fibra Ótica,Não,Não,Não,Sim,Sim,Não,Mensal,True,Cheque,83.9,267.4,False,2.796666666666667
0013-MHZWF,False,False,False,True,9,True,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,True,Cartão de crédito,69.4,571.45,False,2.3133333333333335
0013-SMEOE,False,True,True,False,71,True,Não,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Transferência bancária,109.7,7904.25,False,3.6566666666666667
0014-BMAQU,False,False,True,False,63,True,Sim,Fibra Ótica,Sim,Não,Não,Sim,Não,Não,Dois anos,True,Cartão de crédito,84.65,5377.8,True,2.8216666666666668
0015-UOCOJ,False,True,False,False,7,True,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,48.2,340.35,False,1.6066666666666667
0016-QLJIS,False,False,True,True,65,True,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Cheque,90.45,5957.9,False,3.015
0017-DINOC,False,False,False,False,54,False,Sem serviço telefónico,DSL,Sim,Não,Não,Sim,Sim,Não,Dois anos,False,Cartão de crédito,45.2,2460.55,True,1.5066666666666668
0017-IUDMW,False,False,True,True,72,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Cartão de crédito,116.8,8456.75,False,3.893333333333333
0018-NYROU,False,False,True,False,5,True,Não,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,68.95,351.5,False,2.2983333333333333
0019-EFAEP,False,False,False,False,72,True,Sim,Fibra Ótica,Sim,Sim,Sim,Não,Sim,Não,Dois anos,True,Transferência bancária,101.3,7261.25,False,3.3766666666666665
0019-GFNTW,False,False,False,False,56,False,Sem serviço telefónico,DSL,Sim,Sim,Sim,Sim,Não,Não,Dois anos,False,Transferência bancária,45.05,2560.1,False,1.5016666666666665
0020-INWCK,False,False,True,True,71,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Não,Sim,Dois anos,True,Cartão de crédito,95.75,6849.4,False,3.191666666666667
0020-JDNXP,False,False,True,True,34,False,Sem serviço telefónico,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,False,Cheque,61.25,1993.2,False,2.0416666666666665
0021-IKXGC,False,True,False,False,1,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,72.1,72.1,False,2.4033333333333333
0022-TCJCI,True,True,False,False,45,True,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,False,Cartão de crédito,62.7,2791.5,True,2.0900000000000003
0023-HGHWL,True,True,False,False,1,False,Sem serviço telefónico,DSL,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,25.1,25.1,True,0.8366666666666667
0023-UYUPN,False,True,True,False,50,True,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,False,Cheque eletrônico,25.2,1306.3,False,0.84
0023-XUOPT,True,False,True,False,13,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Sim,Não,Mensal,False,Cheque eletrônico,94.1,1215.6,False,3.1366666666666663
0027-KWYKW,False,False,True,True,23,True,Sim,Fibra Ótica,Não,Não,Não,Não,Sim,Não,Mensal,True,Cheque eletrônico,83.75,1849.95,False,2.7916666666666665
0030-FNXPP,False,False,False,False,3,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Cheque,19.85,57.2,False,0.6616666666666667
0031-PVLZI,True,False,True,True,4,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Cheque,20.35,76.35,False,0.6783333333333333
0032-PGELS,True,False,True,True,1,False,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Não,Não,Mensal,False,Transferência bancária,30.5,30.5,False,1.0166666666666666
0036-IHMOT,False,False,True,True,55,True,Não,Fibra Ótica,Não,Sim,Sim,Sim,Sim,Sim,Anual,True,Transferência bancária,103.7,5656.75,False,3.4566666666666666
0040-HALCW,False,False,True,True,54,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Cartão de crédito,20.4,1090.6,True,0.6799999999999999
0042-JVWOJ,False,False,False,False,26,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,True,Transferência bancária,19.6,471.85,True,0.6533333333333334
0042-RLHYP,False,False,True,True,69,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Transferência bancária,19.7,1396.9,False,0.6566666666666666
0048-LUMLS,False,False,True,True,37,True,Não,Fibra Ótica,Não,Não,Não,Não,Sim,Sim,Anual,False,Cartão de crédito,91.2,3247.55,True,3.04
0048-PIHNL,False,False,True,False,49,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,False,Transferência bancária,20.45,900.9,False,0.6816666666666666
0052-DCKON,False,False,True,False,66,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,False,Transferência bancária,115.8,7942.15,True,3.86
0052-YNYOT,False,False,False,False,67,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,False,Cheque eletrônico,20.55,1343.4,False,0.685
0056-EPFBG,False,False,True,True,20,False,Sem serviço telefónico,DSL,Sim,Não,Sim,Sim,Não,Não,Dois anos,True,Cartão de crédito,39.4,825.4,True,1.3133333333333332
0057-QBUQH,False,False,False,True,43,True,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,True,Cheque eletrônico,25.1,1070.15,False,0.8366666666666667
0058-EVZWM,False,False,True,False,55,True,Sim,Fibra Ótica,Sim,Não,Não,Não,Sim,Não,Mensal,True,Transferência bancária,89.8,4959.6,False,2.993333333333333
0060-FUALY,False,False,True,False,59,True,Sim,Fibra Ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,True,Cheque eletrônico,94.75,5597.65,False,3.158333333333333
0064-SUDOG,False,False,True,True,12,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Transferência bancária,20.3,224.5,False,0.6766666666666666
0064-YIJGF,False,False,True,True,27,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,True,Transferência bancária,75.75,1929.0,True,2.525
0067-DKWBL,True,True,False,False,2,True,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,49.25,91.1,True,1.6416666666666666
0068-FIGTF,False,False,False,False,27,True,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,False,Cheque,78.2,2078.95,False,2.606666666666667
0071-NDAFP,False,False,True,True,25,True,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Cartão de crédito,25.5,630.6,True,0.85
0074-HDKDG,False,False,True,True,25,True,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,True,Transferência bancária,61.6,1611.0,True,2.0533333333333332
0076-LVEPS,False,False,False,True,29,False,Sem serviço telefónico,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,True,Cheque,45.0,1242.45,True,1.5
0078-XZMHT,False,False,True,False,72,True,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Transferência bancária,85.15,6316.2,True,2.8383333333333334
0080-EMYVY,False,False,False,False,14,True,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,False,Cartão de crédito,51.45,727.85,False,1.715
0080-OROZO,False,False,False,False,35,True,Não,Fibra Ótica,Não,Não,Sim,Sim,Sim,Sim,Anual,True,Cheque eletrônico,99.25,3532.0,False,3.308333333333333
0082-LDZUE,False,False,False,False,1,True,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque,44.3,44.3,True,1.4766666666666666
0082-OQIQY,False,False,False,False,29,True,Não,Fibra Ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,True,Cheque eletrônico,94.2,2607.6,True,3.14
0083-PIVIK,False,False,False,False,64,True,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,False,Cheque eletrônico,81.25,5567.55,True,2.7083333333333335
0089-IIQKO,False,False,True,True,39,True,Sim,Fibra Ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,True,Cartão de crédito,99.95,3767.4,False,3.3316666666666666
0093-EXYQL,False,True,False,False,40,True,Não,Fibra Ótica,Não,Não,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,91.55,3673.6,False,3.0516666666666667
0093-XWZFY,True,False,False,False,40,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,True,Cartão de crédito,104.5,4036.85,True,3.4833333333333334
0094-OIFMO,True,True,False,False,11,True,Não,Fibra Ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,95.0,1120.3,False,3.1666666666666665
0096-BXERS,False,False,True,False,6,True,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,False,Cheque eletrônico,50.35,314.55,False,1.6783333333333335
0096-FCPUF,False,False,False,False,30,True,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,True,Cheque,64.5,1888.45,True,2.15
0098-BOWSO,False,False,False,False,27,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,True,Cheque eletrônico,19.4,529.8,True,0.6466666666666666
0100-DUVFC,False,True,True,False,70,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Sim,Sim,Anual,True,Cheque eletrônico,104.8,7308.95,True,3.493333333333333
0103-CSITQ,False,False,True,False,57,True,Sim,Fibra Ótica,Não,Sim,Sim,Sim,Sim,Sim,Anual,True,Transferência bancária,109.4,6252.7,False,3.646666666666667
0104-PPXDV,False,False,True,False,58,True,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,False,Cartão de crédito,50.3,2878.55,True,1.6766666666666665
0106-GHRQR,False,False,False,False,16,True,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,True,Transferência bancária,71.4,1212.1,True,2.3800000000000003
0106-UGRDO,False,False,True,False,69,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Cheque eletrônico,116.0,8182.85,False,3.8666666666666667
0107-WESLM,True,False,False,False,1,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,True,Cheque eletrônico,19.85,19.85,True,0.6616666666666667
0107-YHINA,True,False,False,True,1,True,Sim,Fibra Ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,True,Cheque eletrônico,99.75,99.75,True,3.325
0111-KLBQG,False,True,True,True,32,True,Não,Fibra Ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,True,Cheque,93.95,2861.45,True,3.131666666666667
0112-QAWRZ,False,False,True,True,16,True,Sim,Fibra Ótica,Não,Não,Sim,Não,Sim,Não,Mensal,True,Transferência bancária,90.8,1442.2,True,3.0266666666666664
0112-QWPNC,True,False,True,False,49,True,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,False,Cheque eletrônico,84.35,4059.35,True,2.8116666666666665
0114-IGABW,False,False,True,False,71,False,Sem serviço telefónico,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,False,Transferência bancária,58.25,4145.9,False,1.9416666666666667
0114-PEGZZ,False,False,False,False,33,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,False,Cheque eletrônico,107.55,3645.5,False,3.585
0114-RSRRW,False,False,True,False,10,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,True,Transferência bancária,19.95,187.75,False,0.6649999999999999
0115-TFERT,True,False,True,False,21,True,Sim,Fibra Ótica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,True,Cheque eletrônico,111.2,2317.1,True,3.7066666666666666
0117-LFRMW,True,False,True,True,37,False,Sem serviço telefónico,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,False,Transferência bancária,40.2,1448.8,True,1.34
0118-JPNOY,False,True,False,False,26,True,Não,Fibra Ótica,Sim,Não,Não,Não,Sim,Não,Mensal,True,Cartão de crédito,85.8,2193.65,False,2.86
0121-SNYRK,False,False,False,False,50,False,Sem serviço telefónico,DSL,Sim,Não,Não,Sim,Não,Não,Anual,True,Cheque,35.4,1748.9,True,1.18
0122-OAHPZ,True,False,False,False,7,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,73.85,511.25,False,2.4616666666666664
